Encoder Position: 22090  Error: -22088  Integral Component: -17085.4  Control Voltage: -44176
Encoder Position: 22113  Error: -22111  Integral Component: -17306.5  Control Voltage: -46522
Encoder Position: 22113  Error: -22111  Integral Component: -17527.6  Control Voltage: -44222
Encoder Position: 22135  Error: -22133  Integral Component: -17749  Control Voltage: -46466
Encoder Position: 22135  Error: -22133  Integral Component: -17970.3  Control Voltage: -44266
Encoder Position: 22157  Error: -22155  Integral Component: -18191.8  Control Voltage: -46510
Encoder Position: 22157  Error: -22155  Integral Component: -18413.4  Control Voltage: -44310
Encoder Position: 22180  Error: -22178  Integral Component: -18635.2  Control Voltage: -46656
Encoder Position: 22180  Error: -22178  Integral Component: -18857  Control Voltage: -44356
Encoder Position: 22202  Error: -22200  Integral Component: -19079  Control Voltage: -46600
Encoder Position: 22202  Error: -22200  Integral Component: -19301  Control Voltage: -44400
Encoder Position: 22224  Error: -22222  Integral Component: -19523.2  Control Voltage: -46644
Encoder Position: 22247  Error: -22222  Integral Component: -19745.4  Control Voltage: -44444
Encoder Position: 22247  Error: -22245  Integral Component: -19967.8  Control Voltage: -46790
Encoder Position: 22269  Error: -22245  Integral Component: -20190.3  Control Voltage: -44490
Encoder Position: 22269  Error: -22267  Integral Component: -20413  Control Voltage: -46734
Encoder Position: 22291  Error: -22289  Integral Component: -20635.9  Control Voltage: -46778
Encoder Position: 22291  Error: -22289  Integral Component: -20858.7  Control Voltage: -44578
Encoder Position: 22314  Error: -22312  Integral Component: -21081.9  Control Voltage: -46924
Encoder Position: 22314  Error: -22312  Integral Component: -21305  Control Voltage: -44624
Encoder Position: 22336  Error: -22334  Integral Component: -21528.3  Control Voltage: -46868
Encoder Position: 22336  Error: -22334  Integral Component: -21751.7  Control Voltage: -44668
Encoder Position: 22358  Error: -22356  Integral Component: -21975.2  Control Voltage: -46912
Encoder Position: 22358  Error: -22356  Integral Component: -22198.8  Control Voltage: -44712
Encoder Position: 22381  Error: -22379  Integral Component: -22422.6  Control Voltage: -47058
Encoder Position: 22403  Error: -22379  Integral Component: -22646.4  Control Voltage: -44758
Encoder Position: 22403  Error: -22401  Integral Component: -22870.4  Control Voltage: -47002
Encoder Position: 22425  Error: -22423  Integral Component: -23094.6  Control Voltage: -47046
Encoder Position: 22425  Error: -22423  Integral Component: -23318.8  Control Voltage: -44846
Encoder Position: 22448  Error: -22446  Integral Component: -23543.3  Control Voltage: -47192
Encoder Position: 22448  Error: -22446  Integral Component: -23767.8  Control Voltage: -44892
Encoder Position: 22470  Error: -22468  Integral Component: -23992.4  Control Voltage: -47136
Encoder Position: 22470  Error: -22468  Integral Component: -24217.1  Control Voltage: -44936
Encoder Position: 22493  Error: -22491  Integral Component: -24442  Control Voltage: -47282
Encoder Position: 22493  Error: -22491  Integral Component: -24666.9  Control Voltage: -44982
Encoder Position: 22515  Error: -22513  Integral Component: -24892.1  Control Voltage: -47226
Encoder Position: 22515  Error: -22513  Integral Component: -25117.2  Control Voltage: -45026
Encoder Position: 22537  Error: -22535  Integral Component: -25342.5  Control Voltage: -47270
Encoder Position: 22537  Error: -22535  Integral Component: -25567.9  Control Voltage: -45070
Encoder Position: 22560  Error: -22558  Integral Component: -25793.5  Control Voltage: -47416
Encoder Position: 22560  Error: -22558  Integral Component: -26019.1  Control Voltage: -45116
Encoder Position: 22582  Error: -22580  Integral Component: -26244.9  Control Voltage: -47360
Encoder Position: 22582  Error: -22580  Integral Component: -26470.7  Control Voltage: -45160
Encoder Position: 22604  Error: -22602  Integral Component: -26696.7  Control Voltage: -47404
Encoder Position: 22604  Error: -22602  Integral Component: -26922.7  Control Voltage: -45204
Encoder Position: 22627  Error: -22625  Integral Component: -27148.9  Control Voltage: -47550
Encoder Position: 22627  Error: -22625  Integral Component: -27375.2  Control Voltage: -45250
Encoder Position: 22649  Error: -22647  Integral Component: -27601.7  Control Voltage: -47494
Encoder Position: 22649  Error: -22647  Integral Component: -27828.1  Control Voltage: -45294
Encoder Position: 22671  Error: -22669  Integral Component: -28054.8  Control Voltage: -47538
Encoder Position: 22694  Error: -22669  Integral Component: -28281.5  Control Voltage: -45338
Encoder Position: 22694  Error: -22692  Integral Component: -28508.4  Control Voltage: -47684
Encoder Position: 22716  Error: -22714  Integral Component: -28735.6  Control Voltage: -47628
Encoder Position: 22716  Error: -22714  Integral Component: -28962.7  Control Voltage: -45428
Encoder Position: 22738  Error: -22736  Integral Component: -29190.1  Control Voltage: -47672
Encoder Position: 22738  Error: -22736  Integral Component: -29417.4  Control Voltage: -45472
Encoder Position: 22761  Error: -22759  Integral Component: -29645  Control Voltage: -47818
Encoder Position: 22761  Error: -22759  Integral Component: -29872.6  Control Voltage: -45518
Encoder Position: 22783  Error: -22781  Integral Component: -30100.4  Control Voltage: -47762
Encoder Position: 22783  Error: -22781  Integral Component: -30328.2  Control Voltage: -45562
Encoder Position: 22805  Error: -22803  Integral Component: -30556.3  Control Voltage: -47806
Encoder Position: 22805  Error: -22803  Integral Component: -30784.3  Control Voltage: -45606
Encoder Position: 22827  Error: -22825  Integral Component: -31012.5  Control Voltage: -47850
Encoder Position: 22827  Error: -22825  Integral Component: -31240.8  Control Voltage: -45650
Encoder Position: 22850  Error: -22848  Integral Component: -31469.3  Control Voltage: -47996
Encoder Position: 22850  Error: -22848  Integral Component: -31697.8  Control Voltage: -45696
Encoder Position: 22872  Error: -22870  Integral Component: -31926.5  Control Voltage: -47940
Encoder Position: 22895  Error: -22870  Integral Component: -32155.2  Control Voltage: -45740
Encoder Position: 22895  Error: -22893  Integral Component: -32384.1  Control Voltage: -48086
Encoder Position: 22917  Error: -22915  Integral Component: -32613.2  Control Voltage: -48030
Encoder Position: 22917  Error: -22915  Integral Component: -32842.4  Control Voltage: -45830
Encoder Position: 22939  Error: -22937  Integral Component: -33071.8  Control Voltage: -48074
Encoder Position: 22939  Error: -22937  Integral Component: -33301.1  Control Voltage: -45874
Encoder Position: 22962  Error: -22960  Integral Component: -33530.7  Control Voltage: -48220
Encoder Position: 22962  Error: -22960  Integral Component: -33760.3  Control Voltage: -45920
Encoder Position: 22984  Error: -22982  Integral Component: -33990.1  Control Voltage: -48164
Encoder Position: 22984  Error: -22982  Integral Component: -34220  Control Voltage: -45964
Encoder Position: 23007  Error: -23005  Integral Component: -34450  Control Voltage: -48310
Encoder Position: 23007  Error: -23005  Integral Component: -34680.1  Control Voltage: -46010
Encoder Position: 23029  Error: -23027  Integral Component: -34910.3  Control Voltage: -48254
Encoder Position: 23029  Error: -23027  Integral Component: -35140.6  Control Voltage: -46054
Encoder Position: 23051  Error: -23049  Integral Component: -35371.1  Control Voltage: -48298
Encoder Position: 23051  Error: -23049  Integral Component: -35601.6  Control Voltage: -46098
Encoder Position: 23074  Error: -23072  Integral Component: -35832.3  Control Voltage: -48444
Encoder Position: 23074  Error: -23072  Integral Component: -36063  Control Voltage: -46144
Encoder Position: 23096  Error: -23094  Integral Component: -36294  Control Voltage: -48388
Encoder Position: 23096  Error: -23094  Integral Component: -36524.9  Control Voltage: -46188
