SetPoint: 5  Speed: -58  Error: 63  Integral Component: -60.4437  Control Voltage: 5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -57.6774  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -61.2211  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -60.8994  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -60.5728  Control Voltage: 5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -61.4778  Control Voltage: -5
SetPoint: 5  Speed: 348  Error: -343  Integral Component: -83.4639  Control Voltage: -5
SetPoint: 5  Speed: 117  Error: -112  Integral Component: -90.7327  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -89.1692  Control Voltage: 5
SetPoint: 5  Speed: -154  Error: 159  Integral Component: -79.0265  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -81.1667  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -80.8431  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -80.5216  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -82.6254  Control Voltage: -5
SetPoint: 5  Speed: 288  Error: -283  Integral Component: -101.019  Control Voltage: -5
SetPoint: 5  Speed: 134  Error: -129  Integral Component: -109.35  Control Voltage: -5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -106.504  Control Voltage: 5
SetPoint: 5  Speed: -77  Error: 82  Integral Component: -101.286  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -103.406  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -104.325  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -104.002  Control Voltage: 5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -99.9816  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -102.121  Control Voltage: -5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -104.317  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -102.776  Control Voltage: 5
SetPoint: 5  Speed: -78  Error: 83  Integral Component: -97.4134  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -100.812  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -100.487  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -100.16  Control Voltage: 5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -101.066  Control Voltage: -5
SetPoint: 5  Speed: 347  Error: -342  Integral Component: -123.276  Control Voltage: -5
SetPoint: 5  Speed: 96  Error: -91  Integral Component: -129.175  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -126.388  Control Voltage: 5
SetPoint: 5  Speed: -137  Error: 142  Integral Component: -117.184  Control Voltage: 5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -118.089  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -118.985  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -116.218  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -114.648  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -116.827  Control Voltage: -5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -118.906  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -116.161  Control Voltage: 5
SetPoint: 5  Speed: -57  Error: 62  Integral Component: -112.123  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -115.568  Control Voltage: -5
